Film name and year,Number of ratings,User rating,Average rating
Кунг-фу жеребец (2023),(458 972),10,7.955
"Уэйн (сериал, 2019)",(365 650),6,8.124
"Король и Шут (сериал, 2023)",(946 634),10,8.129
Мстители: Война бесконечности (2018),(881 051),9,8.101
Логан (2017),(372 066),8,7.672
Гнев человеческий (2021),(1 649 125),8,7.687
Волк и лев (2021),(276 392),10,8.005
Жизнь прекрасна (2011),(149 343),10,7.543
Одаренная (2017),(317 723),10,7.953
По соображениям совести (2016),(517 854),10,8.238
Остров фантазий (2020),(152 677),8,5.766
"Бригада (сериал, 2002)",(589 006),10,8.292
Искупление (2007),(313 245),10,8.066
Тайное окно (2004),(229 176),10,7.173
500 дней лета (2009),(293 523),10,7.645
После. Глава 3 (2021),(180 439),7,6.111
После. Глава 2 (2020),(175 875),7,6.212
После (2019),(340 830),7,6.070
Бар «Гадкий койот» (2000),(56 683),7,7.121
Бегущий в лабиринте: Лекарство от смерти (2018),(172 906),6,6.304
Бегущий в лабиринте: Испытание огнём (2015),(180 460),6,6.171
Бегущий в лабиринте (2014),(365 189),7,6.826
"Дивергент, глава 3: За стеной (2016)",(217 278),6,5.772
"Дивергент, глава 2: Инсургент (2015)",(246 182),7,6.140
"Ривердэйл (сериал, 2017 – ...)",(189 058),7,6.479
Дивергент (2014),(555 501),8,6.775
Голодные игры: Сойка-пересмешница. Часть II (2015),(196 744),8,6.596
Голодные игры: Сойка-пересмешница. Часть I (2014),(316 123),8,6.328
Голодные игры: И вспыхнет пламя (2013),(407 501),8,7.475
Голодные игры (2012),(507 625),9,7.267
Место под соснами (2012),(154 956),8,7.318
Дом Gucci (2021),(286 258),7,7.174
365 дней (2020),(158 528),7,5.067
Мейнстрим (2020),(17 797),6,6.076
Анчартед: На картах не значится (2022),(254 238),9,6.811
Волк с Уолл-стрит (2013),(1 554 519),10,8.064
Шан-Чи и легенда десяти колец (2021),(487 137),10,7.304
"Элита. Короткие истории: Патрик (мини-сериал, 2021)",(948),8,6.440
"Эйфория (сериал, 2019 – ...)",(344 137),8,7.494
Пол: Секретный материальчик (2011),(377 945),8,7.238
"Элита: Короткие истории. Омар, Андер, Алексис (мини-сериал, 2021)",(1 116),7,6.744
"Элита. Короткие истории. Надя и Гусман (мини-сериал, 2021)",(1 175),8,6.225
"Элита. Короткие истории. Гусман, Каэ, Ребека (мини-сериал, 2021)",(1 218),6,7.367
"Элита. Короткие истории. Карла и Самуэль (мини-сериал, 2021)",(1 531),7,6.598
"Элита. Короткие истории: Самуэль и Омар (сериал, 2021)",(515),7,6.339
"Элита. Короткие истории. Филлип, Каэ, Фелипе (мини-сериал, 2021)",(530),7,6.564
"Элита (сериал, 2018 – 2024)",(130 060),10,7.385
"Это – Англия. Год 1990 (мини-сериал, 2015)",(23 485),7,8.082
"Это – Англия. Год 1988 (мини-сериал, 2011)",(18 673),7,7.911
"Это – Англия. Год 1986 (мини-сериал, 2010)",(27 858),6,8.057
